locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv1824	Rv1824	CDS	Conserved hypothetical membrane protein		+			2070654	2071019			TU1196	cell wall and cell processes
Rv1825	Rv1825	CDS	Conserved protein		+			2071036	2071914			TU1196	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1826	gcvH	CDS	Probable glycine cleavage system H protein GcvH		+			2071952	2072356		Rv1826 and Rv1827 are co-transcribed, by RT-PCR (see Roback et al., 2007).	TU1196	intermediary metabolism and respiration
Rv1827	garA	CDS	Conserved protein with FHA domain, GarA		+			2072596	2073084		Rv1826 and Rv1827 are co-transcribed, by RT-PCR (see Roback et al., 2007).	TU1197	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv1828	Rv1828	CDS	Conserved protein		+	2073928	2073932	2073081	2073824			TU1197	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1829	Rv1829	CDS	Conserved protein		+			2073943	2074437	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1198	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1830	Rv1830	CDS	Conserved hypothetical protein		+			2074841	2075518			TU1199	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1831	Rv1831	CDS	Hypothetical protein		+			2075571	2075828			TU1200	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1832	gcvB	CDS	Probable glycine dehydrogenase GcvB (glycine decarboxylase) (glycine cleavage system P-protein)		+			2075877	2078702			TU1201	intermediary metabolism and respiration
Rv1833c	Rv1833c	CDS	Possible haloalkane dehalogenase		-			2078929	2079789			TU1202	intermediary metabolism and respiration
Rv1834	lipZ	CDS	Probable hydrolase		+			2079830	2080696			TU1203	intermediary metabolism and respiration
Rv1835c	Rv1835c	CDS	Conserved hypothetical protein		-			2080701	2082587			TU1204	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1836c	Rv1836c	CDS	Conserved protein		-			2082603	2084636			TU1204	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1837c	glcB	CDS	Malate synthase G GlcB		-			2084756	2086981			TU1205	intermediary metabolism and respiration
Rv1838c	vapC13	CDS	Possible toxin VapC13		-	2087658	2087662	2087257	2087652			TU1206	virulence, detoxification, adaptation
Rv1839c	vapB13	CDS	Possible antitoxin VapB13		-			2087649	2087912			TU1206	virulence, detoxification, adaptation
Rv1840c	PE_PGRS34	CDS	PE-PGRS family protein PE_PGRS34		-	2089526	2089530	2087971	2089518			TU1207	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1841c	Rv1841c	CDS	Conserved hypothetical membrane protein		-	2090725	2090728	2089681	2090718			TU1208	cell wall and cell processes
Rv1842c	Rv1842c	CDS	Conserved hypothetical membrane protein		-	2092092	2092094	2090718	2092085			TU1208	cell wall and cell processes
Rv1843c	guaB1	CDS	Probable inosine-5'-monophosphate dehydrogenase GuaB1(imp dehydrogenase) (IMPDH) (IMPD)		-	2093702	2093707	2092259	2093698	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU1209	intermediary metabolism and respiration
Rv1844c	gnd1	CDS	Probable 6-phosphogluconate dehydrogenase Gnd1		-			2093731	2095188			TU1209	intermediary metabolism and respiration
Rv1845c	blaR	CDS	Possible sensor-transducer protein BlaR		-	2096178	2096181	2095218	2096168	In the BlaI|Rv1846c regulon (See Sala et al., 2009).		TU1209	cell wall and cell processes
Rv1846c	blaI	CDS	Transcriptional repressor BlaI		-	2096611	2096615	2096183	2096599	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001; Prakash et al., 2005). In the BlaI|Rv1846c regulon (See Sala et al., 2009).		TU1209	regulatory proteins
Rv1847	Rv1847	CDS	Conserved protein		+			2096877	2097299	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001; Prakash et al., 2005). In the BlaI|Rv1846c regulon (See Sala et al., 2009).		TU1210	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1848	ureA	CDS	Urease gamma subunit UreA (urea amidohydrolase)		+	2097335	2097338	2097348	2097650			TU1211	intermediary metabolism and respiration
Rv1849	ureB	CDS	Urease beta subunit UreB (urea amidohydrolase)		+			2097647	2097961			TU1211	intermediary metabolism and respiration
Rv1850	ureC	CDS	Urease alpha subunit UreC (urea amidohydrolase)		+	2097952	2097954	2097961	2099694			TU1211	intermediary metabolism and respiration
Rv1851	ureF	CDS	Urease accessory protein UreF		+			2099694	2100329			TU1211	intermediary metabolism and respiration
Rv1852	ureG	CDS	Urease accessory protein UreG		+	2100330	2100334	2100340	2101014			TU1211	intermediary metabolism and respiration
Rv1853	ureD	CDS	Probable urease accessory protein UreD		+	2101006	2101009	2101022	2101648			TU1211	intermediary metabolism and respiration
Rv1854c	ndh	CDS	Probable NADH dehydrogenase Ndh		-	2103052	2103056	2101651	2103042			TU1212	intermediary metabolism and respiration
Rv1855c	Rv1855c	CDS	Possible oxidoreductase		-	2104111	2104114	2103184	2104107			TU1213	intermediary metabolism and respiration
Rv1856c	Rv1856c	CDS	Possible oxidoreductase		-	2104828	2104832	2104146	2104823			TU1213	intermediary metabolism and respiration
Rv1857	modA	CDS	Probable molybdate-binding lipoprotein ModA		+			2104985	2105770	Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007).		TU1214	cell wall and cell processes
Rv1858	modB	CDS	Probable molybdenum-transport integral membrane protein ABC transporter ModB		+			2105773	2106567			TU1214	cell wall and cell processes
Rv1859	modC	CDS	Probable molybdenum-transport ATP-binding protein ABC transporter ModC		+	2106562	2106565	2106574	2107683			TU1214	cell wall and cell processes
Rv1860	apa	CDS	Alanine and proline rich secreted protein Apa (fibronectin attachment protein) (immunogenic protein MPT32) (antigen MPT-32) (45-kDa glycoprotein) (45/47 kDa antigen)		+	2107722	2107726	2107736	2108713			TU1215	cell wall and cell processes
Rv1861	Rv1861	CDS	Probable conserved transmembrane protein		+	2109153	2109158	2109165	2109470			TU1216	cell wall and cell processes
Rv1862	adhA	CDS	Probable alcohol dehydrogenase AdhA		+			2109544	2110584			TU1217	intermediary metabolism and respiration
Rv1863c	Rv1863c	CDS	Probable conserved integral membrane protein		-			2110591	2111361			TU1218	cell wall and cell processes
Rv1864c	Rv1864c	CDS	Conserved protein		-	2112110	2112114	2111354	2112109			TU1218	conserved hypotheticals
Rv1865c	Rv1865c	CDS	Probable short-chain type dehydrogenase		-	2112974	2112977	2112106	2112966			TU1218	intermediary metabolism and respiration
Rv1866	Rv1866	CDS	Conserved protein		+	2113128	2113132	2113140	2115476			TU1219	lipid metabolism
Rv1867	Rv1867	CDS	Conserved protein		+	2115753	2115756	2115764	2117248			TU1220	lipid metabolism
Rv1868	Rv1868	CDS	Conserved hypothetical protein		+	2117333	2117337	2117347	2119446			TU1221	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1869c	Rv1869c	CDS	Probable reductase		-	2120704	2120707	2119460	2120695	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU1222	intermediary metabolism and respiration
Rv1870c	Rv1870c	CDS	Conserved hypothetical protein		-			2120795	2121430	Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007). ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU1223	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1871c	Rv1871c	CDS	Conserved protein		-			2121495	2121884			TU1224	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1872c	lldD2	CDS	Possible L-lactate dehydrogenase (cytochrome) LldD2		-			2121907	2123151			TU1224	intermediary metabolism and respiration
Rv1873	Rv1873	CDS	Conserved hypothetical protein		+			2123174	2123611			TU1225	conserved hypotheticals
Rv1874	Rv1874	CDS	Unknown protein		+	2123668	2123671	2123684	2124370			TU1226	conserved hypotheticals
Rv1875	Rv1875	CDS	Conserved protein		+	2124369	2124372	2124381	2124824			TU1226	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1876	bfrA	CDS	Probable bacterioferritin BfrA		+	2125330	2125334	2125340	2125819	In the IdeR|Rv2711 regulon (See Gold et al., 2001).		TU1227	intermediary metabolism and respiration
Rv1877	Rv1877	CDS	Probable conserved integral membrane protein		+	2125893	2125897	2125904	2127967			TU1228	cell wall and cell processes
Rv1878	glnA3	CDS	Probable glutamine synthetase GlnA3 (glutamine synthase) (GS-I)		+			2128022	2129374			TU1229	intermediary metabolism and respiration
Rv1879	Rv1879	CDS	Conserved hypothetical protein		+	2129364	2129367	2129377	2130513			TU1229	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
Rv1880c	cyp140	CDS	Probable cytochrome P450 140 Cyp140		-	2131862	2131866	2130541	2131857			TU1230	intermediary metabolism and respiration
Rv1881c	lppE	CDS	Possible conserved lipoprotein LppE		-	2132336	2132340	2131907	2132329			TU1231	cell wall and cell processes
Rv1882c	Rv1882c	CDS	Probable short-chain type dehydrogenase/reductase		-			2132370	2133203			TU1232	intermediary metabolism and respiration
Rv1883c	Rv1883c	CDS	Conserved hypothetical protein		-			2133231	2133692			TU1232	conserved hypotheticals
Rv1884c	rpfC	CDS	Probable resuscitation-promoting factor RpfC		-			2133731	2134261	Predicted to be in the SigD|Rv3414c regulon (See Raman et al., 2004).		TU1232	cell wall and cell processes
Rv1885c	Rv1885c	CDS	Chorismate mutase		-			2134273	2134872			TU1232	intermediary metabolism and respiration
Rv1886c	fbpB	CDS	Secreted antigen 85-B FbpB (85B) (antigen 85 complex B) (mycolyl transferase 85B) (fibronectin-binding protein B) (extracellular alpha-antigen)		-	2135875	2135880	2134890	2135867			TU1232	lipid metabolism
Rv1887	Rv1887	CDS	Hypothetical protein		+	2136245	2136248	2136258	2137400			TU1233	conserved hypotheticals
Rv1888c	Rv1888c	CDS	Possible transmembrane protein		-	2138089	2138094	2137519	2138079			TU1235	cell wall and cell processes
Rv1888A	Rv1888A	CDS	Conserved hypothetical protein		-			2138444	2138617			TU1234	conserved hypotheticals
Rv1889c	Rv1889c	CDS	Conserved hypothetical protein		-	2139024	2139027	2138661	2139017		Rv1890c and Rv1889c are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU1236	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1890c	Rv1890c	CDS	Hypothetical protein		-			2139076	2139687		Rv1890c and Rv1889c are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU1237	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
MTB000056	AS1890	ncRNA	Putative small regulatory RNA		+			2139419	2139656				stable RNAs
Rv1891	Rv1891	CDS	Conserved protein		+	2139728	2139732	2139741	2140148	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU1238	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1892	Rv1892	CDS	Probable membrane protein		+			2140165	2140476	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1238	cell wall and cell processes
Rv1893	Rv1893	CDS	Conserved hypothetical protein		+	2140475	2140479	2140486	2140704	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1238	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1894c	Rv1894c	CDS	Conserved hypothetical protein		-	2141875	2141879	2140739	2141869	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU1239	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1895	Rv1895	CDS	Possible dehydrogenase		+			2142521	2143675			TU1240	intermediary metabolism and respiration
Rv1896c	Rv1896c	CDS	Conserved hypothetical protein		-	2144455	2144458	2143535	2144446			TU1241	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv1897c	Rv1897c	CDS	Conserved hypothetical protein		-	2144886	2144889	2144451	2144882			TU1241	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1898	Rv1898	CDS	Conserved hypothetical protein		+			2144940	2145248			TU1242	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1899c	lppD	CDS	Possible lipoprotein LppD		-			2145214	2146245			TU1243	cell wall and cell processes
Rv1900c	lipJ	CDS	Probable lignin peroxidase LipJ		-			2146245	2147633			TU1243	intermediary metabolism and respiration
Rv1901	cinA	CDS	Probable CinA-like protein CinA		+			2147662	2148954			TU1244	virulence, detoxification, adaptation
Rv1902c	nanT	CDS	Probable sialic acid-transport integral membrane protein NanT		-			2149006	2150274			TU1245	cell wall and cell processes
Rv1903	Rv1903	CDS	Probable conserved membrane protein		+	2150353	2150356	2150364	2150768			TU1246	cell wall and cell processes
Rv1904	Rv1904	CDS	Conserved hypothetical protein		+			2150954	2151385			TU1247	conserved hypotheticals
Rv1905c	aao	CDS	Probable D-amino acid oxidase Aao		-			2151433	2152395			TU1248	intermediary metabolism and respiration
Rv1906c	Rv1906c	CDS	Conserved protein		-			2152425	2152895			TU1248	conserved hypotheticals
Rv1907c	Rv1907c	CDS	Hypothetical protein		-			2153235	2153882			TU1249	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1908c	katG	CDS	Catalase-peroxidase-peroxynitritase T KatG		-	2156117	2156121	2153889	2156111	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU1249	virulence, detoxification, adaptation
Rv1909c	furA	CDS	Ferric uptake regulation protein FurA (fur)		-	2156607	2156610	2156149	2156592			TU1249	regulatory proteins
Rv1910c	Rv1910c	CDS	Probable exported protein		-			2156706	2157299			TU1250	cell wall and cell processes
Rv1911c	lppC	CDS	Probable lipoprotein LppC		-			2157382	2157987			TU1251	cell wall and cell processes
Rv1912c	fadB5	CDS	Possible oxidoreductase FadB5		-	2159098	2159103	2158087	2159091			TU1252	lipid metabolism
Rv1913	Rv1913	CDS	Conserved hypothetical protein		+			2159191	2159943			TU1253	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1914c	Rv1914c	CDS	Unknown protein		-			2159921	2160328			TU1254	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1915	aceAa	CDS	Probable isocitrate lyase AceAa [first part] (isocitrase) (isocitratase) (Icl)		+	2160448	2160452	2160463	2161566			TU1255	intermediary metabolism and respiration
Rv1916	aceAb	CDS	Probable isocitrate lyase AceAb [second part] (isocitrase) (isocitratase) (Icl)		+	2161549	2161552	2161566	2162762			TU1255	intermediary metabolism and respiration
Rv1917c	PPE34	CDS	PPE family protein PPE34		-			2162932	2167311			TU1256	PE/PPE
Rv1918c	PPE35	CDS	PPE family protein PPE35		-	2167314	2167317	2167649	2170612			TU1257	PE/PPE
Rv1919c	Rv1919c	CDS	Conserved protein		-	2171532	2171535	2171061	2171525			TU1258	conserved hypotheticals
Rv1920	Rv1920	CDS	Probable membrane protein		+			2171623	2172486			TU1259	cell wall and cell processes
Rv1921c	lppF	CDS	Probable conserved lipoprotein LppF		-			2172524	2173795			TU1260	cell wall and cell processes
Rv1922	Rv1922	CDS	Probable conserved lipoprotein		+			2174067	2175182			TU1261	cell wall and cell processes
Rv1923	lipD	CDS	Probable lipase LipD		+			2175173	2176513			TU1261	intermediary metabolism and respiration
Rv1924c	Rv1924c	CDS	Unknown protein		-			2176550	2176930			TU1262	conserved hypotheticals
Rv1925	fadD31	CDS	Probable acyl-CoA ligase FadD31 (acyl-CoA synthetase) (acyl-CoA synthase)		+			2177087	2178949			TU1263	lipid metabolism
Rv1926c	mpt63	CDS	Immunogenic protein Mpt63 (antigen Mpt63/MPB63) (16 kDa immunoprotective extracellular protein)		-			2178957	2179436	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1264	cell wall and cell processes
Rv1927	Rv1927	CDS	Conserved hypothetical protein		+			2179673	2180446			TU1265	conserved hypotheticals
Rv1928c	Rv1928c	CDS	Probable short-chain type dehydrogenase/reductase		-			2180450	2181217			TU1266	intermediary metabolism and respiration
Rv1929c	Rv1929c	CDS	Conserved hypothetical protein		-			2181262	2181906			TU1267	conserved hypotheticals
Rv1930c	Rv1930c	CDS	Conserved hypothetical protein		-			2181918	2182442			TU1267	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
